Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gni,gniPerCapita,pop14under,pop15to24,pop25to64,pop65over,totalPop,happinessScore
Brazil,2017,1.7109999999999999,75.723,13.2,0.7844899999999999,13.690999999999999,1.06386,2053594877013.22,9812.27853,6432354643815.85,8610.0,45066.347,34088.327000000005,110794.026,17885.123,207833.823,6.6350002288818395
Bulgaria,2015,1.53,74.61463,7.0,-0.63807,26.01,3.47119,50201314894.5817,6993.78348,86795434000.0,7480.0,1027.672,700.828,4029.937,1441.3039999999999,7199.741,4.218
Bulgaria,2016,1.54,74.8122,6.7,-0.70138,25.671,3.93676,53240950226.2443,7469.455640000001,93885175000.0,7580.0,1023.9010000000001,672.039,3994.9159999999997,1461.0970000000002,7151.953,4.217
Bulgaria,2017,1.54,74.8122,6.3,-0.73044,25.331,3.81125,58220973782.7715,8228.01157,102368193000.0,7860.0,1025.9289999999999,647.589,3954.6290000000004,1474.297,7102.444,4.71400022506714
Burkina Faso,2015,5.436,59.927,54.3,2.93969,72.47,3.89455,10419303761.3524,575.31445,5963038413600.0,630.0,8253.725,3610.1409999999996,5810.677,436.08099999999996,18110.624,3.5869999999999997
Burkina Faso,2016,5.353,60.361000000000004,52.6,2.91561,71.866,5.93414,10886363726.8422,583.8309,6223985470400.0,600.0,8463.142,3721.528,6012.36,449.327,18646.357,3.739
Burkina Faso,2017,5.271,60.77,51.2,2.89107,71.257,6.3021,12322864244.9183,642.03715,6938989018700.0,590.0,8671.796999999999,3837.881,6221.262,462.29400000000004,19193.234,4.03200006484985
Burundi,2015,5.781000000000001,57.093999999999994,45.9,3.0611,87.92200000000001,-3.9,3104394858.11518,304.37422000000004,4877193000000.0,260.0,4624.915,2065.264,3256.9120000000003,212.93900000000002,10160.03,2.905
Burundi,2016,5.697,57.481,44.1,3.1353299999999997,87.61200000000001,-0.60002,2959185295.3901896,281.18134,4894947000000.0,270.0,4778.513,2089.861,3395.671,223.95,10487.995,2.905
Burundi,2017,5.615,57.857,42.5,3.18076,87.294,0.5000100000000001,3172416146.3921,292.00521000000003,5476982000000.0,280.0,4932.302,2119.7329999999997,3538.223,236.761,10827.018999999998,2.90499997138977
Cambodia,2015,2.594,68.62,27.5,1.60353,77.812,7.03609,18049954289.4229,1163.18977,68927052860800.0,1060.0,4905.112,3197.948,6779.02,639.356,15521.436000000002,3.819
Cambodia,2016,2.56,68.98100000000001,26.3,1.56483,77.418,6.86309,20016747754.0192,1269.90724,76255944356000.0,1140.0,4948.931,3186.95,6959.138000000001,671.273,15766.292,3.907
Cambodia,2017,2.53,69.331,25.1,1.5299,77.02,7.09987,22158209502.6391,1384.42319,84252912607200.0,1230.0,5006.531,3142.867,7153.861999999999,706.1489999999999,16009.409,4.1680002212524405
Cameroon,2015,4.7780000000000005,57.582,58.2,2.6385400000000003,45.422,5.65146,30916218544.4404,1353.92449,18027082000000.0,1470.0,10068.777,4646.075,7947.624,635.8919999999999,23298.368,4.252
Cameroon,2016,4.708,58.073,56.6,2.6135900000000003,44.821000000000005,4.64848,32621535418.9031,1391.75188,19013838000000.0,1410.0,10303.610999999999,4751.607,8217.757,653.576,23926.551,4.513
Cameroon,2017,4.638999999999999,58.575,55.1,2.58806,44.223,3.54909,34922782310.6416,1451.86575,19943363000000.0,1370.0,10530.819,4867.145,8497.112,670.997,24566.072999999997,4.69500017166138
Central African Republic,2015,4.94,51.41,91.6,0.67777,59.723,4.79989,1583776805.9656801,348.38142999999997,940845640600.0,360.0,2031.129,930.329,1404.51,127.20200000000001,4493.17,3.678
Central African Republic,2017,4.796,52.89,87.6,1.39317,59.02,4.29994,1949411659.20453,418.41129,1137684000000.0,390.0,2051.951,978.308,1435.6229999999998,130.141,4596.023,2.69300007820129
Chad,2015,6.05,52.575,76.7,3.1909400000000003,77.485,2.76768,10945989471.6286,781.33106,6277768000000.0,890.0,6750.22,2851.542,4164.241,344.972,14110.975,3.667
